"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.04.2025","392,70","391,82","392,73","386,70","17,70M","0,22%"
"20.04.2025","391,85","362,82","392,16","355,67","102,04M","6,54%"
"13.04.2025","367,78","393,22","394,65","366,89","79,54M","-5,32%"
"06.04.2025","388,45","350,88","393,23","344,79","198,36M","7,95%"
"30.03.2025","359,84","372,54","385,08","359,48","150,37M","-5,01%"
"23.03.2025","378,80","395,40","396,36","376,93","88,31M","-3,18%"
"16.03.2025","391,26","386,70","392,70","381,10","119,29M","0,69%"
"09.03.2025","388,56","385,84","390,23","376,91","127,90M","-1,21%"
"02.03.2025","393,31","398,82","402,15","381,00","121,12M","-0,93%"
"23.02.2025","396,99","408,51","409,37","386,57","129,42M","-2,75%"
"16.02.2025","408,21","408,00","419,31","406,50","96,57M","-0,05%"
"09.02.2025","408,43","413,71","415,46","404,37","104,73M","-0,32%"
"02.02.2025","409,75","411,60","418,65","408,10","101,74M","-1,28%"
"26.01.2025","415,06","424,01","448,38","413,16","171,53M","-6,53%"
"19.01.2025","444,06","430,20","447,27","425,60","87,83M","3,50%"
"12.01.2025","429,03","415,23","434,48","410,72","95,68M","2,41%"
"05.01.2025","418,95","428,00","434,32","415,02","73,97M","-1,04%"
"29.12.2024","423,35","426,06","427,55","414,85","59,96M","-1,67%"
"22.12.2024","430,53","436,74","440,94","426,35","52,63M","-1,39%"
"15.12.2024","436,60","447,27","455,29","428,63","158,00M","-2,39%"
"08.12.2024","447,27","442,60","456,16","440,50","97,83M","0,83%"
"01.12.2024","443,57","421,57","446,10","421,31","105,04M","4,75%"
"24.11.2024","423,46","418,38","429,04","414,85","85,75M","1,55%"
"17.11.2024","417,00","414,87","419,78","410,29","107,66M","0,48%"
"10.11.2024","415,00","422,52","429,33","413,64","123,90M","-1,78%"
"03.11.2024","422,54","409,80","426,85","405,57","100,77M","2,97%"
"27.10.2024","410,37","431,65","438,50","406,30","140,48M","-4,15%"
"20.10.2024","428,15","416,12","432,52","413,75","89,82M","2,39%"
"13.10.2024","418,16","417,77","424,04","410,48","83,03M","0,44%"
"06.10.2024","416,32","416,00","420,38","408,17","83,12M","0,06%"
"29.09.2024","416,06","428,21","430,42","414,29","85,41M","-2,79%"
"22.09.2024","428,02","434,28","436,46","426,10","74,93M","-1,67%"
"15.09.2024","435,27","430,60","441,85","428,22","128,48M","1,09%"
"08.09.2024","430,59","407,24","431,83","402,15","87,45M","7,19%"
"01.09.2024","401,70","417,91","419,88","400,80","69,25M","-3,70%"
"25.08.2024","417,14","416,36","422,05","407,31","82,88M","0,08%"
"18.08.2024","416,79","418,96","426,79","412,09","85,54M","-0,40%"
"11.08.2024","418,47","407,06","421,34","404,24","97,97M","3,07%"
"04.08.2024","406,02","389,17","410,08","385,58","125,79M","-0,60%"
"28.07.2024","408,49","431,58","432,15","404,34","150,44M","-3,95%"
"21.07.2024","425,27","441,79","448,39","417,27","109,25M","-2,71%"
"14.07.2024","437,11","453,30","457,26","432,00","95,09M","-3,62%"
